Regiao	Produto	NroApolice	NroItem	Data	Categoria	IS	VlrPremio	QtdSinistros	VlrIndenizacao
Banrisul	431	1103431000014	1	07/05/2021	Passeio - Nacional	43.442,00	1.174,01	0,00	0,00
Banrisul	431	1103431000015	1	07/06/2021	Passeio - Nacional	34.601,49	844,29	0,00	0,00
Banrisul	431	1103431000016	1	08/06/2021	Pick-Up'S Pesadas (Pessoas)	211.929,30	3.851,10	0,00	0,00
Banrisul	431	1103431000017	1	08/06/2021	Passeio - Nacional	92.259,09	1.314,06	0,00	0,00
Banrisul	431	1103431000018	1	09/06/2021	Passeio - Nacional	22.209,66	1.449,21	0,00	0,00
Banrisul	431	1103431000019	1	10/06/2021	Passeio - Nacional	38.781,90	1.396,00	0,00	0,00
Banrisul	431	1103431000020	1	10/06/2021	Passeio - Nacional	24.864,30	1.057,24	0,00	0,00
Banrisul	431	1103431000021	1	10/06/2021	Pick-Up'S Pesadas (Pessoas)	146.072,70	2.273,08	0,00	0,00
Banrisul	431	1103431000022	1	10/06/2021	Passeio - Nacional	31.557,60	1.187,58	0,00	0,00
Banrisul	431	1103431000023	1	10/06/2021	Pick-Up'S Leves - Nacional	85.361,40	0,03	0,00	0,00
Banrisul	431	1103431000024	1	10/06/2021	Pick-Up'S Pesadas (Pessoas)	194.190,30	6.374,09	0,00	0,00
Banrisul	431	1103431000025	1	10/06/2021	Pick-Up'S Pesadas (Pessoas)	67.955,40	1.154,17	0,00	0,00
Banrisul	431	1103431000026	1	10/06/2021	Pick-Up'S Leves - Nacional	93.366,00	866,34	2,00	11.292,88
Banrisul	431	1103431000027	1	10/06/2021	Passeio - Nacional	22.999,50	-0,00	0,00	0,00
Banrisul	431	1103431000028	1	10/06/2021	Pick-Up'S Pesadas (Pessoas)	112.077,90	0,02	0,00	0,00
Banrisul	431	1103431000029	1	10/06/2021	Pick-Up'S Pesadas (Pessoas)	73.653,03	3.090,71	0,00	0,00
Banrisul	431	1103431000030	1	10/06/2021	Pick-Up'S Leves - Nacional	63.060,30	1.021,42	0,00	0,00
Banrisul	431	1103431000031	1	10/06/2021	Passeio - Nacional	24.730,20	685,04	0,00	0,00
Banrisul	431	1103431000032	1	11/06/2021	Passeio - Nacional	37.439,82	686,31	0,00	0,00
Banrisul	431	1103431000033	1	11/06/2021	Passeio - Nacional	39.709,80	861,54	0,00	0,00
Banrisul	431	1103431000034	1	11/06/2021	Passeio - Nacional	22.822,47	1.268,32	0,00	0,00
Banrisul	431	1103431000035	1	11/06/2021	Passeio - Nacional	53.574,84	1.259,57	0,00	0,00
Banrisul	431	1103431000036	1	11/06/2021	Passeio - Nacional	48.326,06	0,01	0,00	0,00
Banrisul	431	1103431000037	1	11/06/2021	Passeio - Nacional	81.823,50	1.865,96	0,00	0,00
Banrisul	431	1103431000038	1	11/06/2021	Passeio - Nacional	36.087,48	497,70	0,00	0,00
Banrisul	431	1103431000039	1	11/06/2021	Pick-Up'S Pesadas (Pessoas)	80.259,30	0,01	0,00	0,00
Banrisul	431	1103431000040	1	11/06/2021	Passeio - Nacional	45.119,70	933,48	0,00	0,00
Banrisul	431	1103431000041	1	11/06/2021	Passeio - Nacional	29.742,30	0,01	0,00	0,00
Banrisul	431	1103431000042	1	11/06/2021	Passeio - Nacional	20.551,41	942,20	0,00	0,00
Banrisul	431	1103431000043	1	11/06/2021	Passeio - Nacional	51.927,48	764,12	0,00	0,00
Banrisul	431	1103431000044	1	12/06/2021	Passeio - Nacional	33.299,64	926,98	0,00	0,00
Banrisul	431	1103431000045	1	14/06/2021	Passeio - Nacional	49.304,43	1.038,52	0,00	0,00
Banrisul	431	1103431000046	1	14/06/2021	Passeio - Nacional	29.899,98	1.167,00	0,00	0,00
Banrisul	431	1103431000047	1	14/06/2021	Pick-Up'S Leves - Nacional	114.702,30	-0,00	0,00	0,00
Banrisul	431	1103431000048	1	14/06/2021	Passeio - Nacional	58.775,31	2.275,72	0,00	0,00
Banrisul	431	1103431000049	1	14/06/2021	Pick-Up'S Leves - Nacional	85.405,00	845,96	0,00	0,00
Banrisul	431	1103431000050	1	14/06/2021	Pick-Up'S Leves - Nacional	69.633,90	0,01	0,00	0,00
Banrisul	431	1103431000051	1	14/06/2021	Pick-Up'S Pesadas (Pessoas)	87.023,70	0,01	0,00	0,00
Banrisul	431	1103431000052	1	14/06/2021	Passeio - Nacional	79.178,00	1.414,97	0,00	0,00
Banrisul	431	1103431000053	1	14/06/2021	Passeio - Nacional	50.244,48	1.001,72	0,00	0,00
Banrisul	431	1103431000054	1	15/06/2021	Passeio - Nacional	41.232,51	1.450,17	0,00	0,00
Banrisul	431	1103431000055	1	15/06/2021	Pick-Up'S Pesadas (Pessoas)	59.857,38	2.400,15	0,00	0,00
Banrisul	431	1103431000056	1	15/06/2021	Passeio - Nacional	32.090,85	1.941,43	0,00	0,00
Banrisul	431	1103431000057	1	15/06/2021	Passeio - Nacional	33.943,14	332,48	0,00	0,00
Banrisul	431	1103431000058	1	15/06/2021	Passeio - Nacional	28.367,46	970,18	0,00	0,00
Banrisul	431	1103431000059	1	16/06/2021	Pick-Up'S Leves - Nacional	101.824,20	1.807,10	0,00	0,00
Banrisul	431	1103431000060	1	16/06/2021	Passeio - Nacional	74.111,40	1.382,27	0,00	0,00
Banrisul	431	1103431000061	1	16/06/2021	Passeio - Nacional	61.508,70	0,03	0,00	0,00
Banrisul	431	1103431000062	1	16/06/2021	Pick-Up'S Pesadas (Pessoas)	119.025,90	-0,00	0,00	0,00
Banrisul	431	1103431000063	1	16/06/2021	Pick-Up'S Leves - Nacional	78.686,00	0,01	0,00	0,00
Banrisul	431	1103431000064	1	16/06/2021	Pick-Up'S Leves - Nacional	117.121,50	0,01	0,00	0,00
Banrisul	431	1103431000065	1	16/06/2021	Pick-Up'S Pesadas (Pessoas)	192.663,00	3.092,82	0,00	0,00
Banrisul	431	1103431000066	1	16/06/2021	Pick-Up'S Pesadas (Pessoas)	155.301,30	2.242,08	0,00	0,00
Banrisul	431	1103431000067	1	16/06/2021	Pick-Up'S Leves - Nacional	100.194,30	1.842,15	0,00	0,00
Banrisul	431	1103431000068	1	16/06/2021	Passeio - Nacional	44.719,29	1.048,31	0,00	0,00
Banrisul	431	1103431000069	1	16/06/2021	Passeio - Nacional	45.623,16	690,37	0,00	0,00
Banrisul	431	1103431000070	1	16/06/2021	Pick-Up'S Leves - Estrangeiro	57.062,61	1.165,64	0,00	0,00
Banrisul	431	1103431000071	1	17/06/2021	Pick-Up'S Leves - Nacional	133.798,50	1.998,30	0,00	0,00
Banrisul	431	1103431000072	1	17/06/2021	Pick-Up'S Leves - Nacional	44.730,18	679,52	0,00	0,00
Banrisul	431	1103431000073	1	17/06/2021	Pick-Up'S Pesadas (Pessoas)	102.272,94	1.931,29	0,00	0,00
Banrisul	431	1103431000074	1	17/06/2021	Pick-Up'S Pesadas (Pessoas)	67.654,62	0,03	0,00	0,00
Banrisul	431	1103431000075	1	17/06/2021	Passeio - Nacional	70.329,60	1.120,08	0,00	0,00
Banrisul	431	1103431000076	1	17/06/2021	Pick-Up'S Leves - Nacional	76.739,85	1.617,71	0,00	0,00
Banrisul	431	1103431000077	1	17/06/2021	Passeio - Nacional	51.653,25	1.412,29	0,00	0,00
Banrisul	431	1103431000078	1	17/06/2021	Pick-Up'S Pesadas (Pessoas)	0,00	1.014,87	0,00	0,00
Banrisul	431	1103431000079	1	17/06/2021	Passeio - Nacional	38.307,06	768,22	0,00	0,00
Banrisul	431	1103431000080	1	17/06/2021	Pick-Up'S Leves - Nacional	46.284,48	682,17	0,00	0,00
Banrisul	431	1103431000081	1	17/06/2021	Passeio - Nacional	53.695,62	472,38	0,00	0,00
Banrisul	431	1103431000082	1	17/06/2021	Passeio - Nacional	49.634,64	1.073,75	0,00	0,00
Banrisul	431	1103431000083	1	17/06/2021	Passeio - Nacional	37.403,19	702,87	0,00	0,00
Banrisul	431	1103431000084	1	17/06/2021	Pick-Up'S Leves - Nacional	68.654,70	0,01	0,00	0,00
Banrisul	431	1103431000085	1	17/06/2021	Passeio - Nacional	36.961,65	1.140,08	0,00	0,00
Banrisul	431	1103431000086	1	18/06/2021	Passeio - Nacional	118.050,57	1.699,40	0,00	0,00
Banrisul	431	1103431000087	1	18/06/2021	Passeio - Nacional	26.677,53	637,61	0,00	0,00
Banrisul	431	1103431000088	1	18/06/2021	Passeio - Nacional	62.025,48	900,59	0,00	0,00
Banrisul	431	1103431000089	1	18/06/2021	Passeio - Nacional	20.983,05	0,03	0,00	0,00
Banrisul	431	1103431000090	1	18/06/2021	Passeio - Nacional	80.763,21	1.546,00	0,00	0,00
Banrisul	431	1103431000091	1	18/06/2021	Passeio - Nacional	17.375,49	1.333,21	0,00	0,00
Banrisul	431	1103431000092	1	18/06/2021	Passeio - Nacional	61.120,13	1.066,82	0,00	0,00
Banrisul	431	1103431000093	1	18/06/2021	Passeio - Nacional	55.802,00	1.568,88	0,00	0,00
Banrisul	431	1103431000094	1	18/06/2021	Passeio - Nacional	66.211,20	-0,00	0,00	0,00
Banrisul	431	1103431000095	1	18/06/2021	Passeio - Nacional	62.457,12	1.408,12	0,00	0,00
Banrisul	431	1103431000096	1	18/06/2021	Passeio - Nacional	45.602,37	793,82	0,00	0,00
Banrisul	431	1103431000097	1	18/06/2021	Pick-Up'S Pesadas (Pessoas)	90.203,85	1.577,14	0,00	0,00
Banrisul	431	1103431000098	1	18/06/2021	Pick-Up'S Leves - Nacional	74.049,00	1.456,27	0,00	0,00
Banrisul	431	1103431000099	1	19/06/2021	Pick-Up'S Leves - Nacional	38.377,35	857,41	0,00	0,00
Banrisul	431	1103431000100	1	19/06/2021	Passeio - Nacional	62.563,05	794,55	0,00	0,00
Banrisul	431	1103431000101	1	19/06/2021	Passeio - Nacional	33.299,64	930,13	0,00	0,00
Banrisul	431	1103431000102	1	21/06/2021	Pick-Up'S Leves - Nacional	101.824,20	0,03	0,00	0,00
Banrisul	431	1103431000103	1	21/06/2021	Pick-Up'S Pesadas (Pessoas)	76.873,50	0,01	0,00	0,00
Banrisul	431	1103431000104	1	21/06/2021	Pick-Up'S Leves - Nacional	41.269,50	633,19	0,00	0,00
Banrisul	431	1103431000105	1	21/06/2021	Pick-Up'S Leves - Nacional	76.065,30	-0,01	0,00	0,00
Banrisul	431	1103431000106	1	21/06/2021	Pick-Up'S Pesadas (Pessoas)	134.556,30	1.119,12	0,00	0,00
Banrisul	431	1103431000107	1	21/06/2021	Pick-Up'S Pesadas (Pessoas)	61.504,20	1.124,82	0,00	0,00
Banrisul	431	1103431000108	1	21/06/2021	Passeio - Nacional	26.424,90	876,58	0,00	0,00
Banrisul	431	1103431000109	1	21/06/2021	Pick-Up'S Pesadas (Pessoas)	85.015,26	2.757,76	0,00	0,00
Banrisul	431	1103431000110	1	21/06/2021	Passeio - Nacional	31.243,41	943,90	0,00	0,00
Banrisul	431	1103431000111	1	21/06/2021	Passeio - Nacional	40.861,26	1.168,80	0,00	0,00
Banrisul	431	1103431000112	1	21/06/2021	Pick-Up'S Pesadas (Pessoas)	127.488,60	1.958,65	0,00	0,00
Banrisul	431	1103431000113	1	21/06/2021	Pick-Up'S Pesadas (Pessoas)	57.793,00	0,01	0,00	0,00
Banrisul	431	1103431000114	1	21/06/2021	Passeio - Nacional	81.823,50	1.536,48	0,00	0,00
Banrisul	431	1103431000115	1	21/06/2021	Passeio - Nacional	80.335,53	1.860,03	0,00	0,00
Banrisul	431	1103431000116	1	21/06/2021	Passeio - Nacional	46.109,25	883,58	0,00	0,00
Banrisul	431	1103431000117	1	21/06/2021	Passeio - Nacional	18.099,18	713,19	0,00	0,00
Banrisul	431	1103431000118	1	21/06/2021	Passeio - Nacional	59.400,99	1.515,34	1,00	7.369,97
Banrisul	431	1103431000119	1	21/06/2021	Passeio - Nacional	44.355,96	832,08	0,00	0,00
Banrisul	431	1103431000120	1	21/06/2021	Passeio - Nacional	32.828,40	810,81	0,00	0,00
Banrisul	431	1103431000121	1	22/06/2021	Passeio - Nacional	122.239,26	1.734,53	1,00	4.783,83
Banrisul	431	1103431000122	1	22/06/2021	Passeio - Nacional	15.842,97	159,86	0,00	0,00
Banrisul	431	1103431000123	1	22/06/2021	Passeio - Nacional	63.111,51	1.262,40	0,00	0,00
Banrisul	431	1103431000124	1	22/06/2021	Passeio - Nacional	48.337,20	1.077,36	0,00	0,00
Banrisul	431	1103431000125	1	22/06/2021	Passeio - Nacional	35.182,62	1.608,21	0,00	0,00
Banrisul	431	1103431000126	1	22/06/2021	Pick-Up'S Pesadas (Pessoas)	92.145,24	6.140,23	0,00	0,00
Banrisul	431	1103431000127	1	22/06/2021	Passeio - Nacional	35.342,01	1.630,62	0,00	0,00
Banrisul	431	1103431000128	1	22/06/2021	Passeio - Nacional	87.848,64	1.313,22	0,00	0,00
Banrisul	431	1103431000129	1	22/06/2021	Passeio - Nacional	51.638,40	941,42	0,00	0,00
Banrisul	431	1103431000130	1	23/06/2021	Passeio - Nacional	56.553,75	1.199,21	0,00	0,00
Banrisul	431	1103431000131	1	23/06/2021	Passeio - Estrangeiro	22.245,30	899,56	0,00	0,00
Banrisul	431	1103431000132	1	23/06/2021	Passeio - Nacional	23.316,48	862,78	0,00	0,00
Banrisul	431	1103431000133	1	23/06/2021	Passeio - Nacional	26.548,83	1.569,54	0,00	0,00
Banrisul	431	1103431000134	1	23/06/2021	Passeio - Nacional	58.582,26	1.196,57	0,00	0,00
Banrisul	431	1103431000135	1	24/06/2021	Passeio - Nacional	55.455,84	828,75	0,00	0,00
Banrisul	431	1103431000136	1	24/06/2021	Passeio - Nacional	32.869,80	943,88	0,00	0,00
Banrisul	431	1103431000137	1	24/06/2021	Pick-Up'S Pesadas (Pessoas)	155.901,24	3.720,07	0,00	0,00
Banrisul	431	1103431000138	1	24/06/2021	Passeio - Nacional	56.012,22	1.195,05	0,00	0,00
Banrisul	431	1103431000139	1	25/06/2021	Passeio - Nacional	27.562,59	767,47	0,00	0,00
Banrisul	431	1103431000140	1	25/06/2021	Pick-Up'S Leves - Nacional	130.327,00	1.271,38	0,00	0,00
Banrisul	431	1103431000141	1	25/06/2021	Passeio - Nacional	37.685,70	0,01	0,00	0,00
